Date,Country,Cumulative no. of cases,Cumulative no. of deaths,Link
2009-04-24,Mexico,18,0,https://www.who.int/csr/don/2009_04_24/en/
2009-04-24,United States of America,7,0,https://www.who.int/csr/don/2009_04_24/en/
2009-04-26,Mexico,18,0,https://www.who.int/csr/don/2009_04_24/en/
2009-04-26,United States of America,20,0,https://www.who.int/csr/don/2009_04_24/en/
2009-04-27,Canada,6,0,https://www.who.int/csr/don/2009_04_24/en/
2009-04-27,Mexico,26,7,https://www.who.int/csr/don/2009_04_24/en/
2009-04-27,Spain,1,0,https://www.who.int/csr/don/2009_04_24/en/
2009-04-27,United States of America,40,0,https://www.who.int/csr/don/2009_04_24/en/
2009-04-28,Canada,6,0,https://www.who.int/csr/don/2009_04_24/en/
2009-04-28,Israel,2,0,https://www.who.int/csr/don/2009_04_24/en/
2009-04-28,Mexico,26,7,https://www.who.int/csr/don/2009_04_24/en/
2009-04-28,New Zealand,3,0,https://www.who.int/csr/don/2009_04_24/en/
2009-04-28,Spain,2,0,https://www.who.int/csr/don/2009_04_24/en/
2009-04-28,United Kingdom,2,0,https://www.who.int/csr/don/2009_04_24/en/
2009-04-28,United States of America,64,0,https://www.who.int/csr/don/2009_04_24/en/
2009-04-29,Austria,1,0,https://www.who.int/csr/don/2009_04_24/en/
2009-04-29,Canada,13,0,https://www.who.int/csr/don/2009_04_24/en/
2009-04-29,Germany,3,0,https://www.who.int/csr/don/2009_04_24/en/
2009-04-29,Israel,2,0,https://www.who.int/csr/don/2009_04_24/en/
2009-04-29,Mexico,26,7,https://www.who.int/csr/don/2009_04_24/en/
2009-04-29,New Zealand,3,0,https://www.who.int/csr/don/2009_04_24/en/
2009-04-29,Spain,5,0,https://www.who.int/csr/don/2009_04_24/en/
2009-04-29,United Kingdom,5,0,https://www.who.int/csr/don/2009_04_24/en/
2009-04-29,United States of America,91,1,https://www.who.int/csr/don/2009_04_24/en/
2009-04-30,Austria,1,0,https://www.who.int/csr/don/2009_04_30_a/en/
2009-04-30,Canada,19,0,https://www.who.int/csr/don/2009_04_30_a/en/
2009-04-30,Germany,3,0,https://www.who.int/csr/don/2009_04_30_a/en/
2009-04-30,Israel,2,0,https://www.who.int/csr/don/2009_04_30_a/en/
2009-04-30,Mexico,97,7,https://www.who.int/csr/don/2009_04_30_a/en/
2009-04-30,Netherlands,1,0,https://www.who.int/csr/don/2009_04_30_a/en/
2009-04-30,New Zealand,3,0,https://www.who.int/csr/don/2009_04_30_a/en/
2009-04-30,Spain,13,0,https://www.who.int/csr/don/2009_04_30_a/en/
2009-04-30,Switzerland,1,0,https://www.who.int/csr/don/2009_04_30_a/en/
2009-04-30,United Kingdom,8,0,https://www.who.int/csr/don/2009_04_30_a/en/
2009-04-30,United States of America,109,1,https://www.who.int/csr/don/2009_04_30_a/en/
2009-05-01,Austria,1,0,https://www.who.int/csr/don/2009_05_01a/en/
2009-05-01,Canada,34,0,https://www.who.int/csr/don/2009_05_01a/en/
2009-05-01,Denmark,1,0,https://www.who.int/csr/don/2009_05_01a/en/
2009-05-01,Germany,4,0,https://www.who.int/csr/don/2009_05_01a/en/
2009-05-01,Hong Kong Special Administrative Region,1,0,https://www.who.int/csr/don/2009_05_01a/en/
