Country,Cumulative no. of lab confirmed cases,Cumulative no. confirmed deaths
China,120940,659
South Korea,108234,170
Hong Kong,32091,55
Thailand,28939,192
India,19947,1035
Bahrain,13036,7
Japan,11636,107
Vietnam,10791,53
Saudi Arabia,9355,124
Kuwait,7718,27
Malaysia,7066,77
Russia,5613,106
Taiwan,5474,35
Philippines,5212,30
Oman,4837,31
Israel,4330,81
Iran,3672,147
Jordan,2794,19
Iraq,2130,42
Yemen,2070,28
Turkey,1870,415
Lebanon,1500,5
Singapore,1217,19
Palestine,1170,28
Indonesia,1097,10
Mongolia,1073,26
Brunei,971,1
Bangladesh,800,6
Afghanistan,779,17
Qatar,550,8
Cambodia,313,6
Cyprus,297,1
Sri Lanka,258,36
Laos,242,1
Syria,230,127
Nepal,145,2
United Arab Emirates,125,6
Georgia,120,18
Myanmar,65,0
Kyrgyzstan,63,0
North Korea,50,10
Armenia,25,3
Kazakhstan,17,0
Tajikistan,16,0
Azerbaijan,14,2
Pakistan,11,14
Maldives,6,1
Bhutan,6,0
Timor-Leste,6,0
