Country,Cumulative no. of lab confirmed cases,Cumulative no. confirmed deaths
Germany,203713,122
Portugal,156701,51
Belgium,76973,14
United Kingdom,27464,457
Spain,22379,232
Russia,20838,438
Norway,12654,29
Turkey,12316,458
Greece,8768,52
Iceland,8650,2
Finland,6122,36
France,5126,196
Romania,4979,29
Italy,3593,178
Ireland,3189,20
Macedonia,2600,14
Sweden,2130,20
Poland,2024,116
Switzerland,1550,8
Netherlands,1473,51
Latvia,1321,24
Moldova,1024,15
Slovenia,990,11
Austria,964,5
Czech Republic,777,38
Bulgaria,766,23
Malta,718,5
Denmark,651,21
Georgia,604,5
Bosnia and Herzegovina,558,7
Croatia,526,22
Serbia,520,41
Estonia,456,7
Luxembourg,333,2
Albania,310,3
Cyprus,297,2
Hungary,283,37
Jersey,234,0
Slovakia,171,21
Montenegro,119,2
Belarus,102,20
Kosovo,98,10
Ukraine,85,16
Armenia,80,2
Isle of Man,75,0
Lithuania,68,12
Akrotiri and Dhekelia,58,0
Faroe Islands,44,0
Monaco,36,0
Guernsey,17,0
Kazakhstan,17,0
Azerbaijan,14,2
Liechtenstein,13,0
San Marino,5,0
Andorra,1,0
